"Model","Accuracy","AUC"
"KNN",0.810457516339869,0.775188679245283
"Logistic Regression",0.803921568627451,0.75688679245283
"Decision Tree",0.758169934640523,0.708584905660377
"Random Forest",0.810457516339869,0.775188679245283
